P20,P20,P21,P22,P22,P22
TA80,TA81,TA85,TA90,TA91,TA92
A0001,A1001,A2001,A6001,A7001,A8001
A0001.001,A1001.001,A2001.001,A6001.001,A7001.001,A8001.001
A0001.002,A1001.002,A2001.002,A6001.002,A7002,A8001.002
A0001.003,A1001.003,A2001.003,A6001.003,A7002.001,A8001.003
A0001.004,A1001.004,A3001,A6001.004,A7003,A8002
A0002,A1002,A3001.001,A6001.005,A7003.001,A8002.001
A0002.001,A1002.001,,A6001.006,A7004,A8002.002
A0003,A1002.002,,A6001.007,A7004.001,A8003
A0003.001,A1002.003,,,A7005,A8003.001
A0003.002,A1002.004,,,A7005.001,A8003.002
A0003.003,A1002.005,,,A7005.002,A8003.003
A0003.004,A1002.006,,,,A8003.004
,A1002.007,,,,A8004
,A1003,,,,A8004.001
,A1003.001,,,,A8004.002
,A1003.002,,,,A8005
,A1003.003,,,,A8005.001
,A1003.004,,,,A8005.002
,A1003.005,,,,
,A1004,,,,
,A1004.001,,,,
,A1004.002,,,,
,A1004.003,,,,
,A1005,,,,
,A1005.001,,,,
,A1005.002,,,,
,A1005.003,,,,
,A1005.004,,,,
,A1005.005,,,,
,A1006,,,,
,A1006.001,,,,
,A1006.002,,,,
,A1007,,,,
,A1007.001,,,,
,A1007.002,,,,
,A1007.003,,,,
,A1007.004,,,,
,A1008,,,,
,A1008.001,,,,
,A1008.002,,,,
,A1008.003,,,,
,A1008.004,,,,
,A1008.005,,,,
,A1008.006,,,,
,A1008.007,,,,
,A1008.008,,,,
,A1008.009,,,,
,A1008.010,,,,
,A1008.011,,,,
,A1008.012,,,,
,A1008.013,,,,
,A1008.014,,,,
,A1008.015,,,,
,A1008.016,,,,
,A1008.017,,,,
,A1008.018,,,,
,A1008.019,,,,
,A1008.020,,,,
,A1008.021,,,,
,A1008.022,,,,
,A1008.023,,,,
,A1008.024,,,,
,A1008.025,,,,
,A1008.026,,,,
,A1008.027,,,,
,A1009,,,,
,A1009.001,,,,
,A1009.002,,,,
,A1009.003,,,,
,A1010,,,,
,A1010.001,,,,
,A1010.002,,,,
,A1010.003,,,,
,A1010.004,,,,
,A1010.005,,,,
,A1010.006,,,,
,A1010.007,,,,
,A1011,,,,
,A1011.001,,,,
,A1011.002,,,,
,A1011.003,,,,
,A1011.004,,,,
,A1011.005,,,,
,A1011.006,,,,
,A1011.007,,,,
